244,20,10,15,1
233,20,9,15,1
224,20,10,15,1
211,20,12,15,1
208,20,5,15,1
201,20,8,15,1
189,20,11,15,1
178,20,12,15,1
161,20,16,15,1
147,20,13,15,1
136,20,11,15,1
0,0,0,0,1
133,20,5,15,1
123,20,9,15,1
0,0,0,0,1 - '
113,20,8,15,1
98,20,14,15,1
89,20,8,15,1
83,20,5,15,1
70,20,12,15,1
68,20,1,15,1
56,20,11,15,1
0,0,0,0,1
45,20,13,15,1
33,20,10,15,1
0,0,0,0,1
246,45,10,15,2
238,45,5,15,2
227,45,10,15,2
218,40,8,15,2
210,45,10,15,2
196,45,13,15,2
194,45,1,15,2
180,45,13,15,2
171,45,8,15,2
0,0,0,0,2
164,45,6,15,2
154,45,9,15,2
0,0,0,0,2
135,45,18,15,2
122,45,12,15,2
111,45,10,15,2
105,45,5,15,2
96,45,9,15,2
92,45,1,15,2
80,45,11,15,2
0,0,0,0,2
67,45,11,15,2
52,45,12,15,2
0,0,0,0,2
32,45,18,15,2
0,0,0,0,2
220,88,11,14,3
210,88,9,14,3
198,88,11,14,3
186,88,12,14,3
181,88,4,14,3
170,88,10,14,3
159,88,10,14,3
143,88,15,14,3
0,0,0,0,3
130,88,12,14,3
0,0,0,0,3
112,88,17,14,3
97,88,14,14,3
85,88,11,14,3
71,88,13,14,3
62,88,8,14,3
48,88,12,14,3















